word,count,source_terms,sources,sample_context,normalization
kien,10,kien,1 - 0003.tif; IMG_3211.HEIC,Fil-bagalja kien hemm qmis | Fil-bagalja kien hemm gerii | Fil-bagalja kien hemm xorz,kept
kif,5,Kif,IMG_3210.HEIC; IMG_3211.HEIC; IMG_3222.HEIC; IMG_3227.HEIC,Kif inhu t- | Qabbel I-istam a mal-kelma biex turi kif inhu t-temp. | Ikteb kif inhu t-,kept
kikkra,3,kikkra,IMG_3199.HEIC; IMG_3213.HEIC; Untitled.pdf,kikkra | kikkra | kikkra,kept
klassi,3,Fil-klassi; Klassi,1 - 0010.tif; 1 - 0014.tif; IMG_3205.HEIC,Klassi: | Klassi: | Fil-klassi,"kept, mapped"
kliem,25,I-kliem; il-kliem; kliem,1 - 0002.tif; 1 - 0008.tif; 1 - 0018.tif; IMG_3199.HEIC; IMG_3200.HEIC; IMG_3201.HEIC; IMG_3209.HEIC; IMG_3212.HEIC; IMG_3230.HEIC; IMG_3250.HEIC; IMG_3251.HEIC; IMG_3252.HEIC; Untitled.pdf,"L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il- | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il— | Quddiem kliem li jibda bil-konsonanti t, d, n, r, s, t, x, ± , | (Jia dawn il-kliem u imla I-vojg: | Ikteb iL-vokali tas dan il-kliem | Dawn il-kliem mhux miktubin sew. Tista' tiktibhom sew inti? | Irranéa I-kliem biex tifforma sentenza.","kept, mapped"
kollox,3,Kollox,1 - 0010.tif; IMG_3227.HEIC,Kollox Dwari Nnifsi | 3. Qatta' kollox f'biééiet ±ghar bis- | 4. Poééi kollox go,kept
kulur,4,I-kulur; Kulur,1 - 0010.tif; IMG_3216.HEIC; IMG_3217.HEIC; IMG_3225.HEIC,Ikteb I-oééett u I-kulur f I-is azji I-voj\a. | Ikteb I-oggett u I-kulur f I-ispgæji I-vojta. | A ra I-istruzzjonijiet u kompli I-istampa. Aghti I-kulur. | Kulur favorit:,"kept, mapped"
kuluri,8,bil-kuluri; I-kuluri; kuluri,IMG_3215.HEIC; IMG_3216.HEIC; IMG_3217.HEIC; Untitled.pdf,11-kuluri | 11-kuluri | 11-kuluri | Pingi I-kuluri. | Imla I-vo •t bil-kuluri.,"kept, mapped"
lampa,3,Lampa,1 - 0006.tif; IMG_3203.HEIC; IMG_3204.HEIC,Lampa | lampa | —lampa--,kept
lapes,3,lapes,IMG_3199.HEIC; IMG_3216.HEIC; IMG_3232.HEIC,lapes | lapes | lapes,kept
lejn,7,lejn,IMG_3205.HEIC; IMG_3207.HEIC; IMG_3209.HEIC; IMG_3210.HEIC; IMG_3212.HEIC; IMG_3228.HEIC,Hares lejn I-istampa u ikteb jekk hux veru jew falz. | Hares lejn I-istampa u ikteb il-kelma t-tajba. | Hares lejn I-istam i u imla l-,kept
libsa,6,libsa,1 - 0003.tif; IMG_3211.HEIC; IMG_3212.HEIC,"u iehor kannella, Kien hemm libsa | libsa | libsa",kept
madwar,2,madwar,1 - 0001.tif; 1 - 0002.tif,"taht (under) , bejn (in between), madwar (around). | Aghmel tirku madwar il-prepo±izzjoni f'dawn is-sentenzi",kept
malti,5,malti,1 - 0003.tif; 1 - 0011.tif; 1 - 0012.tif; Untitled.pdf,malti.skola.edu.mt | malti.skola.edu.mt | malti.sk laned .mt,kept
maġenb,2,maéenb,1 - 0001.tif,"(near), maéenb (next to), fuq (on top). | -iuriieqa (maéenb / taht)",mapped
mejda,3,il-mejda; Mejda,1 - 0004.tif; IMG_3203.HEIC; IMG_3205.HEIC,Mejda | mejda | 8. Hemm pjanta fuq il-mejda.,"kept, mapped"
mera,2,Mera,1 - 0006.tif; IMG_3204.HEIC,Mera | mera,kept
miftuħa,1,miftuha,IMG_3205.HEIC,2. It-tieqa I-kbira hija miftuha.,mapped
miktubin,1,miktubin,1 - 0018.tif,Dawn il-kliem mhux miktubin sew. Tista' tiktibhom sew inti?,kept
mimlija,2,mimlija,1 - 0003.tif; IMG_3232.HEIC,It-tfal sabu bagalja mimlija | mimlija,kept
min,11,min,1 - 0009.tif; IMG_3219.HEIC; IMG_3221.HEIC,"Ma' min tmur hemmhekk, in-narratur? | Min ja | 1. Min qed jixrob?",kept
minn,6,minn,1 - 0010.tif; 1 - 0015.tif; 1 - 0016.tif; 1 - 0017.tif; 1 - 0018.tif; IMG_3215.HEIC,Padna 2 minn 2 | paÖna minn 7 | paéna 2 minn 7,kept
mogħoż,1,il-moghoil,1 - 0009.tif,"baqar, il-moghoil in-naghaé, u anke t-tiéieéE Jien",mapped
naqbeż,4,naqbe,IMG_3219.HEIC; IMG_3220.HEIC,naqbe±. | naqbe2 | naqbe±,mapped
naqra,3,naqra,IMG_3208.HEIC; IMG_3219.HEIC; IMG_3220.HEIC,L-iskola nitghallem naqra u | naqra | naqra,kept
ngħum,4,nghum,IMG_3207.HEIC; IMG_3210.HEIC; IMG_3219.HEIC; IMG_3220.HEIC,mmur nghum. | •mmur nghum fil-bahar. | nghum,mapped
niekol,6,niekol,IMG_3208.HEIC; IMG_3219.HEIC; IMG_3220.HEIC; IMG_3232.HEIC,Wara I-iskola niekol | niekol | niekol,kept
nieħu,3,niehu,1 - 0009.tif; IMG_3208.HEIC,tghidx kemm niehu pjaär immur nilghab maghhom! | Wara niehu l- | Filghaxija niehu,mapped
niktbuh,5,niktbuh,IMG_3199.HEIC; Untitled.pdf,"L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il- | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il—",kept
nikteb,6,nikteb,IMG_3208.HEIC; IMG_3219.HEIC; IMG_3220.HEIC,nikteb | nikteb. | nikteb,kept
nilbsu,3,nilbsu,IMG_3211.HEIC; IMG_3212.HEIC,11-hwejjeé li nilbsu | 11-hwejjeé li nilbsu | 11-hwejjeé li nilbsu,kept
nilgħab,5,nilghab,1 - 0009.tif; IMG_3208.HEIC; IMG_3219.HEIC; IMG_3220.HEIC,tghidx kemm niehu pjaär immur nilghab maghhom! | Jien inhobb nilghab bil- | nilghab,mapped
ninsab,10,ninsab,IMG_3216.HEIC,", ninsab fin-nar u t-tadam. | ninsab fil-weraq u I-haxix. | , ninsab f is-sema u I-bahar.",kept
nixrob,4,nixrob,IMG_3219.HEIC; IMG_3220.HEIC,nixrob | nixrob | nixrob,kept
nixtri,2,nixtri,1 - 0008.tif; IMG_3220.HEIC,nixtri | nixtri,kept
nkanta,4,nkanta,IMG_3219.HEIC; IMG_3220.HEIC,nkanta | nkanta | nkanta,kept
numri,4,in-numri,1 - 0019.tif; 1 - 0020.tif; IMG_3217.HEIC; IMG_3218.HEIC,Traééa u ikteb in-numri | Traééa u ikteb in-numri | In-numri mill-I sa 10,mapped
numru,4,in-numru; numru,IMG_3204.HEIC; IMG_3217.HEIC; IMG_3219.HEIC; IMG_3228.HEIC,1k teb in-numru biex t abbel I-oééetti. | Ghodd u ikteb in-numru. | Ikteb in-numru biex tqabbel il-haxix. | numru biex tqabbel mat-verb.,"kept, mapped"
oġġetti,2,I-oééetti; oééetti,IMG_3204.HEIC; IMG_3206.HEIC,1k teb in-numru biex t abbel I-oééetti. | Pindi 6 oééetti li ghandek fit-basket tal-iskola.,mapped
oħra,2,ohra,1 - 0003.tif; IMG_3225.HEIC,"roia u ohra safra, Kien hemm ukolJ | ohra.",mapped
pappagall,2,pappagall,IMG_3199.HEIC; IMG_3223.HEIC,TI- pappagall ghandu haCna kulurc | 11-pappagall jitkellem bhalna.,kept
papra,3,papra,IMG_3224.HEIC; IMG_3225.HEIC,papra | 11-papra | papra fl-ghadira,kept
partijiet,2,partijiet,IMG_3229.HEIC,11-partijiet tal-éisem | 11-partijiet tal-éisem,kept
passatempi,2,Passatempi,1 - 0007.tif; 1 - 0010.tif,11-Passatempi | Passatempi:,kept
pastard,2,pastard,IMG_3228.HEIC,pastard | pastard,kept
pinġi,12,pinéi,1 - 0017.tif; IMG_3211.HEIC; IMG_3215.HEIC; IMG_3218.HEIC; IMG_3225.HEIC; Untitled.pdf,"jba u ghal kull jurnata, pinéi attivitä Ii taghmel f'dak il-jum, | Ikteb il-• ranet tal-é@gha u pinéi t-tem | A ra s-sentenzi u pinéi I-istampa.",mapped
pjanta,2,pjanta,IMG_3204.HEIC; IMG_3205.HEIC,pjanta | 8. Hemm pjanta fuq il-mejda.,kept
pjaċir,2,pjaär,1 - 0009.tif,tghidx kemm niehu pjaär immur nilghab maghhom! | Kollha kemm Ghna niehdu pjaär nilaghbu u nqattghu I-hin mal-annimali,mapped
postijiet,2,postijiet,IMG_3199.HEIC; Untitled.pdf,affarijiet u postijiet. | affarijiet u postijiet.,kept
poġġi,2,Poééi,IMG_3202.HEIC; IMG_3227.HEIC,Poééi I-artiklu t-tajjebquddiem ikkelma. | 4. Poééi kollox go,mapped
pronomi,2,Pronomi,IMG_3218.HEIC; IMG_3219.HEIC,11-Pronomi | 11-Pronomi Personali,kept
pultruna,2,it-pultruna; pultruna,IMG_3204.HEIC; IMG_3205.HEIC,pultruna | 7.11-qattus rieqed taht it-pultruna.,"kept, mapped"
qabbel,7,Qabbel,IMG_3210.HEIC; IMG_3211.HEIC; IMG_3220.HEIC; IMG_3223.HEIC; IMG_3224.HEIC; IMG_3232.HEIC,Qabbel. | Qabbel I-istam a mal-kelma biex turi kif inhu t-temp. | Qabbel il-verbi.,kept
qalziet,6,qalziet,1 - 0003.tif; IMG_3211.HEIC; IMG_3212.HEIC; IMG_3215.HEIC; IMG_3230.HEIC,"iceangjata, Kien hemm qalziet | qalziet | qalziet",kept
qamrin,2,qamrin,Untitled.pdf,"Pinéi I-konsonanti qamrin bil-vjola, I-konsonanti xemxin | S.b kelma li tibda b'kull ittra tal-konsonanti qamrin.",kept
qattus,7,qattus,IMG_3202.HEIC; IMG_3205.HEIC; IMG_3213.HEIC; IMG_3223.HEIC; IMG_3224.HEIC; IMG_3232.HEIC,qattus | 7.11-qattus rieqed taht it-pultruna. | qattus,kept
qed,28,qed,1 - 0001.tif; IMG_3205.HEIC; IMG_3221.HEIC; IMG_3222.HEIC; IMG_3224.HEIC,L-ghasfur qed itir | 3.11-mamd qed iééorr ±ewé platti. | 4.11-papd qed idoqq il-kitarra.,kept
qiegħda,2,qieghda,1 - 0002.tif; IMG_3224.HEIC,IL-mara qieghda fu il-bank. | qieghda fl-,mapped
qiegħed,3,qieghed; qieghedfuq,1 - 0002.tif; IMG_3224.HEIC,"11-kelb qieghed hdej it-tifla, | qieghed fit- | o It-tifel qieghedfuq •i-iuriieqa.",mapped
qmis,5,qmis,1 - 0003.tif; IMG_3211.HEIC; IMG_3212.HEIC; IMG_3230.HEIC,Fil-bagalja kien hemm qmis | qmis | qmis,kept
quddiem,11,quddiem,1 - 0001.tif; IMG_3199.HEIC; IMG_3200.HEIC; IMG_3201.HEIC; IMG_3202.HEIC; Untitled.pdf,"quddiem (in front), wara (behind), faééata (opposite), hdejn | L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | L-artiklu il- niktbuh quddiem kliem li jibda b'dawn il-",kept
razzett,4,Ir-Razzett; tar-razzett,1 - 0009.tif; IMG_3224.HEIC; IMG_3225.HEIC,Ir-Razzett | Ir-razzett tan-nannu | L-annimali tar-razzett | L-annimali tar-razzett,mapped
rigal,2,rigal,IMG_3202.HEIC; IMG_3214.HEIC,rigal | rigal,kept
robot,2,robot,IMG_3200.HEIC; IMG_3202.HEIC,robot | robot,kept
rota,3,ir-rota; rota,IMG_3215.HEIC; IMG_3223.HEIC; IMG_3232.HEIC,rota | 3. Suzie ghandha rota édida. | 11-hamster idawwar ir-rota.,"kept, mapped"
roża,4,roia,1 - 0003.tif; 1 - 0013.tif; IMG_3212.HEIC; IMG_3215.HEIC,"roia u ohra safra, Kien hemm ukolJ | gomma roia u Celestio | ta' Anna hu roia.",mapped
safra,3,safra,1 - 0003.tif; 1 - 0013.tif; IMG_3230.HEIC,"roia u ohra safra, Kien hemm ukolJ | tem rina safra, | safra u kalzetti blu. 1±-±arbun tieghu",kept
salott,5,is-salott,IMG_3202.HEIC; IMG_3204.HEIC; IMG_3205.HEIC,is-salott | Is-salott | 1k teb x'hemm f is-salott.,mapped
sapun,2,is-sapun; Sapun,1 - 0006.tif; IMG_3202.HEIC,Sapun | is-sapun,"kept, mapped"
sena,4,is-sena; tas-sena,IMG_3208.HEIC; IMG_3209.HEIC; IMG_3214.HEIC,Ix-xhur tas-sena | Wahhal ix-xhur tas-sena wara xulxin. | Ix-xhur tas-sena | Din is-sena jien kont,mapped
sentenza,5,is-sentenza; sentenza,IMG_3209.HEIC; IMG_3222.HEIC; IMG_3223.HEIC; IMG_3224.HEIC,Irranéa I-kliem biex tifforma sentenza. | Sentenza tibda b'ittra kbira u tispiééa bil- unt. | sentenza. | Hares lejyyk.($grppa u ikteb is-sentenza kif suppost. | Qabbel is-sentenza mal-istampa.,"kept, mapped"
sentenzi,4,is-sentenzi; sentenzi,1 - 0002.tif; IMG_3199.HEIC; IMG_3228.HEIC,Ikteb 2 sentenzi dwar I-istampa: | Aghiel 2 kelmiet bl-artiklu u ikteb 2 sentenzi. | Hares lejn I-istam a u ikteb sentenzi bhal dawn. | Aghmel tirku madwar il-prepo±izzjoni f'dawn is-sentenzi,"kept, mapped"
serp,2,serp,IMG_3223.HEIC; Untitled.pdf,serp | Serp,kept
settembru,2,F'Settembru; Settembru,IMG_3208.HEIC; IMG_3209.HEIC,Settembru | F'Settembru,"kept, mapped"
sew,3,sew,1 - 0018.tif; IMG_3227.HEIC,Dawn il-kliem mhux miktubin sew. Tista' tiktibhom sew inti? | Dawn il-kliem mhux miktubin sew. Tista' tiktibhom sew inti? | 2. Ahsel sew il-,kept
sib,2,Sib,IMG_3230.HEIC; Untitled.pdf,Sib il-kliem fil-fittiexa. | Sib kelma li tibda blkull ittra tal-konsonanti xemxin.,kept
sibt,5,Is-Sibt,1 - 0015.tif; IMG_3207.HEIC,Is-Sibt | Is-Sibt | Is-Sibt,mapped
sink,2,Sink,1 - 0006.tif; IMG_3204.HEIC,Sink | sink,kept
siġġu,3,siééu,IMG_3202.HEIC; IMG_3203.HEIC; IMG_3213.HEIC,siééu | siééu | siééu,mapped
skola,3,skola,1 - 0003.tif; 1 - 0011.tif; IMG_3208.HEIC,malti.skola.edu.mt | malti.skola.edu.mt | skola,kept
skutella,2,skutella,IMG_3215.HEIC; IMG_3227.HEIC,Spot ihobb jiekol minn skutella | skutella,kept
snien,3,Tas-snien,1 - 0006.tif; IMG_3204.HEIC,Xkupilja Tas-snien | 6 krema tas-snien | 11 xkupilJa tas-snien,mapped
snin,2,snin,IMG_3214.HEIC; Untitled.pdf,snin. | snin.,kept
sodda,12,Sodda; tas-sodda,1 - 0004.tif; 1 - 0006.tif; IMG_3200.HEIC; IMG_3202.HEIC; IMG_3203.HEIC; IMG_3208.HEIC; IMG_3213.HEIC; IMG_3222.HEIC,Sodda | ümS=SODDA | Sodda | il-kamra tas-sodda | 11-kamra tas-sodda | Ikteb x' hemm fil-kamra tas-sodda.,"kept, mapped"
ssib,2,ssib,1 - 0009.tif,Fir-razzett taghna ssib bosta annimali. Hemm il | X'annimali ssib hemmhekk?,kept
sufan,2,is-sufan; Sufan,1 - 0004.tif; IMG_3223.HEIC,Sufan | 11-qattus ihobb jorqod fuq is-sufan.,"kept, mapped"
sħab,2,is-shab; shab,IMG_3210.HEIC; IMG_3216.HEIC,4. shab | ninsab f is-shab u I-halib.,mapped
ta,14,it-ta; t-ta; ta,1 - 0017.tif; IMG_3199.HEIC; IMG_3208.HEIC; IMG_3211.HEIC; IMG_3212.HEIC; IMG_3220.HEIC; IMG_3221.HEIC; Untitled.pdf,"L-artiklu niktbuh quddiem xi ismijiet ta' annimali, | Jien naghlaq snini fix-xahar ta' | ta' Ivan hu ahdar, | F 'dawn is-7 kaxxi t'hawn taht, ikteb il-éranet tal-öimgha fl-ordni t-ta- | Aghiel il-kelma t-ta jba. | Aghiel it-ta 'ba. | Aghiel it-ta •ba.","kept, mapped"
tadam,4,it-tadam; t-tadam; tadam,IMG_3216.HEIC; IMG_3228.HEIC,"tadam | tadam | , ninsab fin-nar u t-tadam. | Lara ma thobbx it-tadam.","kept, mapped"
tagħtina,2,taghtina,IMG_3224.HEIC,taghtina l- | taghtina l-,mapped
tajba,7,t-tajba; tajba,1 - 0001.tif; 1 - 0003.tif; 1 - 0011.tif; 1 - 0012.tif; IMG_3205.HEIC; IMG_3208.HEIC; IMG_3218.HEIC,"Aghiel il-prepoiizzjoni t-tajba: | kaxxa t-tajba, | t-tajba, | tajba.","kept, mapped"
tajjeb,2,it-tajjeb,IMG_3209.HEIC; IMG_3210.HEIC,Hares lejn I-istampa u ikteb I-istaéun it-tajjeb. | Fares lejn I-istam a u ikteb I-istagun it-tajjeb.,mapped
tajn,2,it-tajn; tajn,IMG_3224.HEIC; IMG_3225.HEIC,tajn. | fuq it-tajn.,"kept, mapped"
tal,4,tal,IMG_3207.HEIC; IMG_3227.HEIC; IMG_3229.HEIC,11-&ranet tal-&imgha | 11-éranet tal-&imgha | Imla I-vojt biex tikteb kif tipprepara insalata tal-,kept
tanbur,2,tanbur,IMG_3200.HEIC; IMG_3213.HEIC,tanbur | tanbur,kept
tapit,2,tapit,IMG_3203.HEIC; IMG_3204.HEIC,tapit | tapit,kept
taħt,7,taht,1 - 0001.tif; 1 - 0002.tif; 1 - 0017.tif; IMG_3202.HEIC; IMG_3205.HEIC; IMG_3211.HEIC,"taht (under) , bejn (in between), madwar (around). | -iuriieqa (maéenb / taht) | fuq, taht, wara",mapped
temp,6,It-Temp; t-temp; temp,IMG_3210.HEIC; IMG_3211.HEIC,temp illum? Pindi t—temp tat—lum | temp illum? Pindi t—temp tat—lum | temp taht kull stampa. | It-Temp | It-Temp | Qabbel I-istam a mal-kelma biex turi kif inhu t-temp.,"kept, mapped"
tewm,2,tewm,IMG_3228.HEIC,tewm | tewm,kept
tfal,3,It-tfal; tfal,1 - 0003.tif; IMG_3205.HEIC; IMG_3222.HEIC,"It-tfal sabu bagalja mimlija | 5. It-tfal qed ikantaw, | tfal","kept, mapped"
tibda,3,tibda,IMG_3209.HEIC; Untitled.pdf,Sentenza tibda b'ittra kbira u tispiééa bil- unt. | Sib kelma li tibda blkull ittra tal-konsonanti xemxin. | S.b kelma li tibda b'kull ittra tal-konsonanti qamrin.,kept
tiegħek,3,tieghek,IMG_3214.HEIC; IMG_3226.HEIC; Untitled.pdf,"Dejjem tieghek, | Liema hi I-frotta favorita tieghek? | Pinéi I-arblu tar-razza tal-familja tieghek u imla I-vojt.",mapped
tiegħi,15,tieghi,1 - 0009.tif; 1 - 0010.tif; IMG_3208.HEIC; IMG_3210.HEIC; IMG_3215.HEIC; IMG_3230.HEIC; Untitled.pdf,"Hemmhekk immur mal-familja tieghi. teneralment, | tieghi: | Ritratt tieghi:",mapped
tiegħu,3,tieghu,IMG_3215.HEIC; IMG_3230.HEIC,-qalziet tieghu huwa | 11-ballun favorit tieghu huwa | safra u kalzetti blu. 1±-±arbun tieghu,mapped
tifel,5,It-tifel; tifel,1 - 0002.tif; IMG_3230.HEIC; IMG_3232.HEIC; Untitled.pdf,It-tifel huwa | o It-tifel qieghedfuq •i-iuriieqa. | 2. It-tifel ferhan ghax rebah. | tifel qasir u C.qjq• | tifel,"kept, mapped"
tifforma,2,tifforma,1 - 0008.tif; IMG_3209.HEIC,Ikteb il-vokali biex tifforma keima. | Irranéa I-kliem biex tifforma sentenza.,kept
tifla,3,it-tifla; tifla,1 - 0002.tif; IMG_3202.HEIC; IMG_3213.HEIC,"tifla | tifla | 11-kelb qieghed hdej it-tifla,","kept, mapped"
tikteb,3,tikteb,IMG_3221.HEIC; IMG_3222.HEIC; IMG_3227.HEIC,tikteb | tikteb | Imla I-vojt biex tikteb kif tipprepara insalata tal-,kept
titkellem,2,titkellem,1 - 0009.tif; IMG_3222.HEIC,"Liem hu I-post li titkellem dwaru n-narratur, fis-silta? | titkellem",kept
tixrob,2,tixrob,IMG_3219.HEIC; IMG_3221.HEIC,tixrob. | tixrob,kept
tliet,2,tliet,1 - 0011.tif; IMG_3225.HEIC,2. Ix-xadini Itaqghu ma' tliet | 5. Pindi tliet tiéieé,kept
tlieta,7,It-Tlieta,1 - 0015.tif; 1 - 0016.tif; IMG_3207.HEIC,It-Tlieta | it-Tlieta | it-Tlieta -4,mapped
tnejn,7,It-Tnejn,1 - 0015.tif; IMG_3207.HEIC; IMG_3211.HEIC,It-Tnejn | It-Tnejn | It-Tnejn,mapped
tojlit,2,Tojlit,1 - 0004.tif; IMG_3204.HEIC,Tojlit | tojlit,kept
tqabbel,2,tqabbel,IMG_3219.HEIC; IMG_3228.HEIC,numru biex tqabbel mat-verb. | Ikteb in-numru biex tqabbel il-haxix.,kept
tuffieħa,2,tuffieha,IMG_3227.HEIC; IMG_3232.HEIC,tuffieha | 1. Jien niekol tuffieha hadra.,mapped
tur,3,tur,1 - 0010.tif; 1 - 0017.tif; 1 - 0020.tif,tur is—sit twinkl.com I | tur is-sit twinkl.com.mt | tur is-sit twinkl.com.mt,kept
verb,7,IL-Verb; Verb,IMG_3219.HEIC; IMG_3220.HEIC; IMG_3221.HEIC; IMG_3222.HEIC,11-Verb | 11-Verb | 11-Verb | IL-Verb | IL-Verb,"kept, mapped"
verbi,2,il-verbi,IMG_3220.HEIC,Qabbel il-verbi. | Qabbel il-verbi.,mapped
veru,5,Veru,1 - 0003.tif; 1 - 0011.tif; IMG_3205.HEIC,"Ei A. Immarka Veru jew Falz b'V | Veru Falz | Ei A, Immarka Veru Jew Falz b'V fil-kaxxa",kept
vjola,2,bil-vjola; Vjola,IMG_3215.HEIC; Untitled.pdf,"roia u Vjola. | Pinéi I-konsonanti qamrin bil-vjola, I-konsonanti xemxin","kept, mapped"
vojt,14,fil-vojt; I-vojt; L-VOJT,1 - 0003.tif; 1 - 0008.tif; 1 - 0014.tif; 1 - 0016.tif; IMG_3212.HEIC; IMG_3227.HEIC; IMG_3232.HEIC; IMG_3254.HEIC; Untitled.pdf,"Imla I-vojt skont is-silta, | Imla I-vojt, | Imla I-vojt bil-éranet tal-éimgha. | vokali fil-vojt. | Dahhal il-vokali fil-vojt. | Dahhal il-vokali fil-vojt. | IMLA L-VOJT",mapped
vojta,2,I-vojta; vojta,IMG_3217.HEIC; IMG_3232.HEIC,Ikteb I-oggett u I-kulur f I-ispgæji I-vojta. | vojta,"kept, mapped"
vokali,17,bil-vokali; I-vokali; il-vokali; vokali,1 - 0004.tif; 1 - 0008.tif; IMG_3201.HEIC; IMG_3254.HEIC; Untitled.pdf,"Nofa: Ftakar il-vokali huma a e j o u ie | Aghmel Iinja fahf il-vokali | Ikteb iL-vokali tas dan il-kliem | Tinsiex li vokali huma sittae | 11-Vokali | vokali fil-vojt. | Imla I-vojf bil-vokali | Quddiem kliem li jibda bil-vokali, bl-gh u bl- | Quddiem kliem li jibda bil-vokali, bl-gh u bl-h, I-artiklu","kept, mapped"
wara,9,wara,1 - 0001.tif; 1 - 0002.tif; IMG_3208.HEIC; IMG_3209.HEIC; Untitled.pdf,"quddiem (in front), wara (behind), faééata (opposite), hdejn | is-siéar (wara / fuq) | it-bank (wara / fuq)",kept
waħda,2,wahda,1 - 0011.tif; IMG_3225.HEIC,8. L-irgiel qaeetu sigra wahda biss. | wahda fejn it-tractor.,mapped
waħħal,2,wahhal,IMG_3206.HEIC; IMG_3208.HEIC,A ra I-kelma u wahhal I-istampa fuq il-kelma. | Wahhal ix-xhur tas-sena wara xulxin.,mapped
weraq,2,fil-weraq; il-weraq,IMG_3216.HEIC; IMG_3221.HEIC,ninsab fil-weraq u I-haxix. | il-weraq.,mapped
werqa,2,werqa,IMG_3213.HEIC; IMG_3217.HEIC,werqa | werqa,kept
xadini,3,Ix-xadini,1 - 0011.tif,"10 Ix-xadini i-ighar jisimhom Milo, | 2. Ix-xadini Itaqghu ma' tliet | 5. Ix-xadini telghu fuq dahar",mapped
xagħru,2,xaghru,IMG_3215.HEIC; IMG_3230.HEIC,Huwa ghandu xaghru iswed. | Ghandu xaghru iswed ghajnejh kannella,mapped
xalla,3,xalla,IMG_3211.HEIC; IMG_3212.HEIC,xalla | xalla | xalla,kept
xemx,5,xemx,IMG_3200.HEIC; IMG_3210.HEIC; IMG_3211.HEIC; IMG_3217.HEIC; IMG_3254.HEIC,xemx | xemx | xemx,kept
xemxin,2,xemxin,Untitled.pdf,"Pinéi I-konsonanti qamrin bil-vjola, I-konsonanti xemxin | Sib kelma li tibda blkull ittra tal-konsonanti xemxin.",kept
xhur,3,Ix-xhur,IMG_3208.HEIC; IMG_3209.HEIC,Ix-xhur tas-sena | Wahhal ix-xhur tas-sena wara xulxin. | Ix-xhur tas-sena,mapped
xita,3,xita,IMG_3210.HEIC; IMG_3211.HEIC,3. xita | Kemm ghamlet xita illum? | xita,kept
xkupilja,2,Xkupilja,1 - 0006.tif; IMG_3204.HEIC,Xkupilja Tas-snien | 11 xkupilJa tas-snien,kept
xorts,3,xorz,1 - 0003.tif; IMG_3211.HEIC,Fil-bagalja kien hemm xorz | xorz | xorz,mapped
xtara,6,xtara,1 - 0012.tif; 1 - 0013.tif,Elton xtara | Elton xtara | Elton xtara,kept
xugaman,4,Xugaman,1 - 0006.tif; IMG_3200.HEIC; IMG_3202.HEIC; IMG_3204.HEIC,Xugaman | xugaman | xugaman,kept
xulxin,2,xulxin,IMG_3208.HEIC; Untitled.pdf,Wahhal ix-xhur tas-sena wara xulxin. | Aghqqad I-ittri tal-alfabett wara xulxin.,kept
zija,2,iz-zija; zija,Untitled.pdf,iz-zija | hijå zija,"kept, mapped"
ziju,2,iz-ziju; ziju,Untitled.pdf,iz-ziju | ziju,"kept, mapped"
ċelesti,1,Celestio,1 - 0013.tif,gomma roia u Celestio,mapped
ġakketta,3,éakketta,IMG_3211.HEIC; IMG_3212.HEIC,éakketta | éakketta | éakketta,mapped
ġimgħa,11,il-éimgha; imgha; tal-éimgha; éimgha,1 - 0009.tif; 1 - 0015.tif; 1 - 0016.tif; IMG_3207.HEIC,11-&ranet tal-&imgha | 11-éranet tal-&imgha | 11-&imgha | 11-éranet tal-éimgha | Imla I-vojt bil-éranet tal-éimgha. | 11-éimgha | éimgha,mapped
ġlekk,3,élekk,IMG_3211.HEIC,élekk | élekk | élekk,mapped
ġranet,4,bil-éranet; il-éranet; éranet,1 - 0015.tif; 1 - 0016.tif; 1 - 0017.tif; IMG_3207.HEIC,"11-éranet tal-éimgha | 11-éranet tal-&imgha | Imla I-vojt bil-éranet tal-éimgha. | F 'dawn is-7 kaxxi t'hawn taht, ikteb il-éranet tal-öimgha fl-ordni t-ta-",mapped
ħabib,4,habib; il-habib,IMG_3215.HEIC; IMG_3230.HEIC,11-habib tieghi | 11-habib tieghi jismu Andre. Andre huwa | 11-habib tieghi Andre | Dan il-habib tieghi Ben.,mapped
ħadd,4,Hadd; IL-Hadd,1 - 0015.tif; IMG_3207.HEIC,11-Hadd | 11-Hadd | 11-Hadd | IL-Hadd,mapped
ħadra,2,hadra,1 - 0013.tif; IMG_3232.HEIC,"tem rina hadra, | 1. Jien niekol tuffieha hadra.",mapped
ħalib,3,halib; I-halib; il-halib,IMG_3216.HEIC; IMG_3221.HEIC; IMG_3224.HEIC,ninsab f is-shab u I-halib. | il-halib. | halib.,mapped
ħamis,5,Hamis; il-Hamis,1 - 0015.tif; 1 - 0016.tif; IMG_3207.HEIC; IMG_3211.HEIC,11-Hamis | 11-Hamis | 11-Hamis | il-Hamis,mapped
ħanut,4,hanuf; il-hanuf,1 - 0005.tif,11-hanuf | 11-hanuf | 11-hanuf | il-hanuf fal-,mapped
